time,R01_STAGE,R02_STAGE,R03_STAGE,R04_STAGE,R01_FLOW,R02_FLOW,R03_FLOW,R04_FLOW
96798818.30487,1078.961688,1061.581000,1026.344127,993.2813055,-34.97353665,-0.1815758768,-4.681315826,-148.2745357
107834373.6793,1078.961110,1061.581000,1026.343925,993.2813108,-34.95110444,-0.1870466231,-4.677920687,-148.2746339
119973484.5911,1078.960597,1061.581000,1026.343361,993.2812881,-34.93119987,-0.1867988155,-4.668365178,-148.2700048
133326506.5941,1078.960212,1061.581000,1026.346518,993.2823285,-34.91626275,-0.2230824586,-4.722519351,-148.4523759
148014830.7974,1078.959911,1061.581000,1026.347760,993.2826334,-34.90459917,-0.2409424858,-4.743910873,-148.5058658
164171987.4210,1078.959629,1061.581000,1026.346889,993.2824248,-34.89367126,-0.2357438612,-4.728965608,-148.4690940
181944859.7070,1078.959476,1061.581000,1026.351000,993.2836287,-34.88774771,-0.2804910888,-4.799856229,-148.6807679
201495019.2216,1078.959338,1061.581000,1026.351024,993.2835330,-34.88239111,-0.2844124193,-4.800274798,-148.6641059
223000194.6876,1078.959342,1061.581000,1026.356095,993.2848764,-34.88252157,-0.3389374278,-4.888263133,-148.9006687
246655887.7003,1078.959277,1061.581000,1026.354772,993.2843677,-34.88000953,-0.3283586172,-4.865209717,-148.8113825
272677150.0142,1078.959363,1061.581000,1026.360009,993.2857542,-34.88336188,-0.3836301885,-4.956595378,-149.0556725
301300538.5595,1078.959291,1061.581000,1026.356876,993.2847886,-34.88054752,-0.3532702306,-4.901806680,-148.8858472
332786265.9593,1078.959425,1061.581000,1026.362669,993.2863308,-34.88575564,-0.4138810607,-5.003259502,-149.1575868
367420566.0992,1078.959303,1061.581000,1026.357637,993.2849125,-34.88100835,-0.3629540761,-4.915070857,-148.9078684
405518296.2530,1078.959488,1061.581000,1026.364501,993.2867275,-34.88818270,-0.4344816281,-5.035498777,-149.2276986
447425799.4222,1078.959949,1061.581000,1026.373555,993.2887672,-34.90605885,-0.5316903071,-5.196148757,-149.5879139
493524052.9083,1078.959733,1061.581000,1026.363673,993.2860881,-34.89769639,-0.4282335082,-5.020782992,-149.1155749
544232131.7430,1078.959950,1061.581000,1026.370965,993.2880372,-34.90612097,-0.5042575781,-5.149920385,-149.4591975
600011018.4612,1078.960464,1061.581000,1026.379969,993.2900398,-34.92603844,-0.6014122377,-5.311154280,-149.8131165
661367793.8512,1078.960980,1061.581000,1026.388350,993.2915792,-34.94608587,-0.6702999707,-5.462959770,-150.0855748
728860246.7802,1078.961379,1061.581000,1026.393837,993.2925371,-34.96154021,-0.7132442378,-5.563283160,-150.2552671
803101945.0021,1078.961649,1061.581000,1026.397089,993.2930962,-34.97203365,-0.7390938193,-5.623107016,-150.3543939
884767813.0462,1078.961820,1061.581000,1026.398988,993.2934191,-34.97865133,-0.7542702390,-5.658154564,-150.4116545
974600267.8948,1078.961922,1061.581000,1026.400072,993.2936022,-34.98261051,-0.7629419823,-5.678194896,-150.4441086
1073415968.228,1078.961980,1061.581000,1026.400673,993.2937032,-34.98487355,-0.7677452100,-5.689319243,-150.4620325
1182113238.595,1078.962012,1061.581000,1026.400995,993.2937573,-34.98611047,-0.7703131762,-5.695283519,-150.4716188
1301680235.998,1078.962028,1061.581000,1026.401160,993.2937852,-34.98675589,-0.7716327311,-5.698357335,-150.4765558
1433203933.142,1078.962037,1061.581000,1026.401242,993.2937989,-34.98707660,-0.7722817769,-5.699873429,-150.4789921
1577880000.000,1078.962041,1061.581000,1026.401281,993.2938054,-34.98722796,-0.7725861969,-5.700586245,-150.4801388
